arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
PE_t05_gp0002,freeflow,50,0.4782,0.264,0.139,0.124,0.082,0.196,0.043
PE_t05_gp0002,highway,56,0.2606,0.0762,0.124,0.117,0.035,0.236,0.091
PE_t05_gp0002,launch,102,0.3158,0.1068,0.109,0.143,0.048,0.187,0.085
PE_t05_gp0002,mixed,19,0.2915,0.0879,0.266,0.139,0.056,0.193,0.108
PE_t05_gp0002,truck,26,0.1741,0.0321,0.176,0.117,0.087,0.062,0.295
PE_t05_gp0002,urban,47,0.4855,0.2537,0.339,0.156,0.192,0.36,0.09
ADAM_lr1e3_t08,freeflow,50,0.1805,0.0334,0.117,0.336,0.425,0.315,0.47
ADAM_lr1e3_t08,highway,56,0.1828,0.0349,0.111,0.133,0.17,0.28,0.182
ADAM_lr1e3_t08,launch,102,0.2773,0.0795,0.188,0.219,0.247,0.202,0.269
ADAM_lr1e3_t08,mixed,19,0.2595,0.071,0.205,0.126,0.141,0.183,0.106
ADAM_lr1e3_t08,truck,26,0.165,0.0277,0.185,0.134,0.09,0.054,0.315
ADAM_lr1e3_t08,urban,47,0.2759,0.0782,0.203,0.133,0.167,0.304,0.205
ADAM_lr1e3_t10,freeflow,50,0.186,0.0361,0.12,0.363,0.603,0.274,0.51
ADAM_lr1e3_t10,highway,56,0.1733,0.0312,0.128,0.117,0.353,0.255,0.195
ADAM_lr1e3_t10,launch,102,0.2769,0.0787,0.196,0.251,0.392,0.168,0.304
ADAM_lr1e3_t10,mixed,19,0.2414,0.061,0.203,0.12,0.204,0.187,0.117
ADAM_lr1e3_t10,truck,26,0.1487,0.0226,0.214,0.122,0.171,0.056,0.313
ADAM_lr1e3_t10,urban,47,0.2805,0.0827,0.173,0.122,0.158,0.31,0.205
ADAM_lr1e3_t12,freeflow,50,0.1697,0.0301,0.132,0.309,0.136,0.31,0.437
ADAM_lr1e3_t12,highway,56,0.1784,0.0337,0.116,0.115,0.262,0.293,0.211
ADAM_lr1e3_t12,launch,102,0.2752,0.0789,0.211,0.226,0.163,0.189,0.267
ADAM_lr1e3_t12,mixed,19,0.2561,0.069,0.175,0.118,0.207,0.192,0.162
ADAM_lr1e3_t12,truck,26,0.1562,0.025,0.165,0.12,0.357,0.043,0.378
ADAM_lr1e3_t12,urban,47,0.2763,0.0783,0.186,0.119,0.082,0.32,0.148
ADAM_lr1e3_t14,freeflow,50,0.2202,0.0509,0.323,0.444,0.452,0.3,0.517
ADAM_lr1e3_t14,highway,56,0.1738,0.0318,0.188,0.129,0.124,0.309,0.239
ADAM_lr1e3_t14,launch,102,0.2707,0.0759,0.331,0.273,0.227,0.187,0.289
ADAM_lr1e3_t14,mixed,19,0.2416,0.0617,0.285,0.119,0.115,0.215,0.125
ADAM_lr1e3_t14,truck,26,0.1446,0.0218,0.307,0.117,0.18,0.033,0.34
ADAM_lr1e3_t14,urban,47,0.2649,0.0727,0.245,0.126,0.076,0.356,0.195
ADAM_lr2e3_t08,freeflow,50,0.1752,0.0325,0.166,0.492,0.514,0.284,0.48
ADAM_lr2e3_t08,highway,56,0.1669,0.0293,0.206,0.12,0.353,0.302,0.174
ADAM_lr2e3_t08,launch,102,0.2528,0.0664,0.234,0.286,0.292,0.195,0.281
ADAM_lr2e3_t08,mixed,19,0.2509,0.0667,0.442,0.123,0.193,0.204,0.095
ADAM_lr2e3_t08,truck,26,0.1417,0.0209,0.421,0.12,0.152,0.033,0.296
ADAM_lr2e3_t08,urban,47,0.2662,0.073,0.484,0.134,0.21,0.318,0.204
ADAM_lr2e3_t10,freeflow,50,0.1809,0.0341,0.124,0.53,0.25,0.303,0.52
ADAM_lr2e3_t10,highway,56,0.1651,0.0287,0.208,0.122,0.101,0.301,0.17
ADAM_lr2e3_t10,launch,102,0.27,0.0759,0.197,0.318,0.101,0.213,0.306
ADAM_lr2e3_t10,mixed,19,0.2301,0.0556,0.409,0.119,0.088,0.217,0.136
ADAM_lr2e3_t10,truck,26,0.126,0.0163,0.404,0.113,0.125,0.025,0.331
ADAM_lr2e3_t10,urban,47,0.2499,0.0653,0.449,0.11,0.087,0.333,0.17
ADAM_lr2e3_t12,freeflow,50,0.1808,0.0343,0.202,0.476,0.535,0.309,0.541
ADAM_lr2e3_t12,highway,56,0.1691,0.0301,0.202,0.12,0.351,0.285,0.208
ADAM_lr2e3_t12,launch,102,0.272,0.0754,0.211,0.283,0.292,0.19,0.332
ADAM_lr2e3_t12,mixed,19,0.2628,0.0728,0.281,0.117,0.229,0.181,0.123
ADAM_lr2e3_t12,truck,26,0.151,0.0235,0.332,0.12,0.175,0.06,0.319
ADAM_lr2e3_t12,urban,47,0.277,0.0803,0.246,0.121,0.234,0.3,0.213
ADAM_lr2e3_t14,freeflow,50,0.1915,0.0377,0.245,0.468,0.338,0.332,0.5
ADAM_lr2e3_t14,highway,56,0.1856,0.0362,0.12,0.132,0.121,0.294,0.186
ADAM_lr2e3_t14,launch,102,0.3029,0.0951,0.225,0.292,0.18,0.23,0.297
ADAM_lr2e3_t14,mixed,19,0.231,0.0547,0.271,0.122,0.107,0.217,0.118
ADAM_lr2e3_t14,truck,26,0.1475,0.0223,0.258,0.123,0.218,0.033,0.3
ADAM_lr2e3_t14,urban,47,0.2963,0.0923,0.278,0.125,0.114,0.344,0.202
ADAM_lr3e3_t08,freeflow,50,0.1854,0.0361,0.221,0.48,0.374,0.317,0.493
ADAM_lr3e3_t08,highway,56,0.1716,0.0309,0.268,0.139,0.371,0.303,0.238
ADAM_lr3e3_t08,launch,102,0.2408,0.0598,0.279,0.314,0.346,0.206,0.294
ADAM_lr3e3_t08,mixed,19,0.251,0.0666,0.482,0.129,0.327,0.198,0.129
ADAM_lr3e3_t08,truck,26,0.1334,0.0185,0.489,0.119,0.486,0.041,0.354
ADAM_lr3e3_t08,urban,47,0.2659,0.0727,0.497,0.11,0.172,0.327,0.19
ADAM_lr3e3_t10,freeflow,50,0.1743,0.0324,0.141,0.511,0.127,0.284,0.46
ADAM_lr3e3_t10,highway,56,0.1758,0.0326,0.227,0.142,0.239,0.306,0.139
ADAM_lr3e3_t10,launch,102,0.2645,0.0731,0.218,0.3,0.163,0.196,0.262
ADAM_lr3e3_t10,mixed,19,0.2381,0.06,0.449,0.119,0.161,0.221,0.096
ADAM_lr3e3_t10,truck,26,0.1225,0.0157,0.434,0.112,0.299,0.026,0.285
ADAM_lr3e3_t10,urban,47,0.2624,0.0735,0.503,0.107,0.053,0.328,0.195
ADAM_lr3e3_t12,freeflow,50,0.178,0.0333,0.149,0.475,0.07,0.313,0.534
ADAM_lr3e3_t12,highway,56,0.1653,0.0289,0.204,0.119,0.082,0.309,0.232
ADAM_lr3e3_t12,launch,102,0.2795,0.0804,0.178,0.308,0.105,0.193,0.334
ADAM_lr3e3_t12,mixed,19,0.2363,0.0587,0.352,0.122,0.088,0.201,0.144
ADAM_lr3e3_t12,truck,26,0.1185,0.0145,0.375,0.11,0.165,0.034,0.372
ADAM_lr3e3_t12,urban,47,0.272,0.0781,0.35,0.108,0.059,0.308,0.179
ADAM_lr3e3_t14,freeflow,50,0.2021,0.0418,0.341,0.535,0.415,0.324,0.473
ADAM_lr3e3_t14,highway,56,0.1695,0.03,0.31,0.133,0.222,0.306,0.139
ADAM_lr3e3_t14,launch,102,0.2902,0.0873,0.415,0.344,0.21,0.211,0.279
ADAM_lr3e3_t14,mixed,19,0.2369,0.0591,0.528,0.132,0.165,0.211,0.109
ADAM_lr3e3_t14,truck,26,0.1441,0.0212,0.529,0.124,0.322,0.03,0.282
ADAM_lr3e3_t14,urban,47,0.2686,0.075,0.526,0.114,0.061,0.337,0.231
ADAM_lr5e4_t08,freeflow,50,0.1957,0.0405,0.188,0.483,0.101,0.285,0.531
ADAM_lr5e4_t08,highway,56,0.1841,0.0353,0.134,0.128,0.221,0.254,0.356
ADAM_lr5e4_t08,launch,102,0.2816,0.0813,0.193,0.287,0.13,0.196,0.339
ADAM_lr5e4_t08,mixed,19,0.2645,0.0729,0.289,0.122,0.188,0.178,0.198
ADAM_lr5e4_t08,truck,26,0.1649,0.0279,0.287,0.121,0.335,0.077,0.469
ADAM_lr5e4_t08,urban,47,0.2934,0.0889,0.29,0.119,0.079,0.315,0.176
ADAM_lr5e4_t10,freeflow,50,0.1839,0.0349,0.217,0.492,0.168,0.323,0.478
ADAM_lr5e4_t10,highway,56,0.1841,0.0354,0.117,0.13,0.181,0.283,0.253
ADAM_lr5e4_t10,launch,102,0.2909,0.0866,0.202,0.292,0.126,0.217,0.285
ADAM_lr5e4_t10,mixed,19,0.2599,0.0707,0.206,0.121,0.138,0.185,0.128
ADAM_lr5e4_t10,truck,26,0.1531,0.0239,0.211,0.122,0.281,0.065,0.355
ADAM_lr5e4_t10,urban,47,0.2906,0.0869,0.213,0.123,0.074,0.308,0.215
ADAM_lr5e4_t12,freeflow,50,0.2092,0.0452,0.283,0.475,0.111,0.309,0.482
ADAM_lr5e4_t12,highway,56,0.182,0.0344,0.131,0.127,0.211,0.271,0.261
ADAM_lr5e4_t12,launch,102,0.2946,0.0894,0.267,0.28,0.131,0.224,0.291
ADAM_lr5e4_t12,mixed,19,0.2473,0.0635,0.261,0.12,0.184,0.208,0.132
ADAM_lr5e4_t12,truck,26,0.158,0.0255,0.271,0.122,0.324,0.051,0.357
ADAM_lr5e4_t12,urban,47,0.2797,0.0809,0.25,0.124,0.073,0.349,0.213
ADAM_lr5e4_t14,freeflow,50,0.1999,0.0415,0.253,0.519,0.256,0.307,0.471
ADAM_lr5e4_t14,highway,56,0.1873,0.0367,0.127,0.13,0.321,0.275,0.317
ADAM_lr5e4_t14,launch,102,0.2921,0.0874,0.237,0.301,0.2,0.22,0.289
ADAM_lr5e4_t14,mixed,19,0.2638,0.0727,0.207,0.128,0.234,0.199,0.181
ADAM_lr5e4_t14,truck,26,0.1615,0.0265,0.203,0.124,0.408,0.051,0.446
ADAM_lr5e4_t14,urban,47,0.295,0.0886,0.209,0.132,0.095,0.34,0.175
A_lr15e2_t05_r16,freeflow,50,0.1676,0.0318,0.1,0.354,0.042,0.253,0.402
A_lr15e2_t05_r16,highway,56,0.1693,0.0302,0.123,0.111,0.04,0.274,0.181
A_lr15e2_t05_r16,launch,102,0.2489,0.0631,0.161,0.221,0.084,0.187,0.236
A_lr15e2_t05_r16,mixed,19,0.2465,0.0641,0.286,0.104,0.077,0.173,0.108
A_lr15e2_t05_r16,truck,26,0.152,0.0246,0.292,0.104,0.177,0.06,0.33
A_lr15e2_t05_r16,urban,47,0.2602,0.07,0.299,0.106,0.038,0.297,0.169
A_lr1e2_t04_r16,freeflow,50,0.1718,0.0321,0.104,0.364,0.036,0.29,0.356
A_lr1e2_t04_r16,highway,56,0.1705,0.0309,0.108,0.108,0.043,0.298,0.094
A_lr1e2_t04_r16,launch,102,0.2381,0.0593,0.169,0.233,0.1,0.184,0.208
A_lr1e2_t04_r16,mixed,19,0.2523,0.0673,0.276,0.107,0.09,0.179,0.07
A_lr1e2_t04_r16,truck,26,0.1552,0.0252,0.279,0.106,0.191,0.047,0.258
A_lr1e2_t04_r16,urban,47,0.2617,0.0708,0.277,0.111,0.028,0.301,0.22
A_lr1e2_t05_r16,freeflow,50,0.1504,0.0258,0.106,0.448,0.144,0.267,0.389
A_lr1e2_t05_r16,highway,56,0.166,0.0294,0.159,0.108,0.114,0.33,0.057
A_lr1e2_t05_r16,launch,102,0.2427,0.0608,0.163,0.271,0.133,0.181,0.228
A_lr1e2_t05_r16,mixed,19,0.2324,0.0574,0.312,0.112,0.119,0.229,0.09
A_lr1e2_t05_r16,truck,26,0.1281,0.0172,0.329,0.107,0.241,0.036,0.24
A_lr1e2_t05_r16,urban,47,0.2399,0.0598,0.318,0.107,0.013,0.34,0.197
A_lr1e2_t05_r16_noDEC,freeflow,50,0.1963,0.0395,0.307,0.528,0.198,0.336,0.495
A_lr1e2_t05_r16_noDEC,highway,56,0.1722,0.0313,0.222,0.131,0.269,0.311,0.223
A_lr1e2_t05_r16_noDEC,launch,102,0.2896,0.0854,0.284,0.294,0.23,0.239,0.271
A_lr1e2_t05_r16_noDEC,mixed,19,0.2648,0.0745,0.358,0.114,0.169,0.21,0.088
A_lr1e2_t05_r16_noDEC,truck,26,0.1574,0.0255,0.391,0.125,0.144,0.038,0.298
A_lr1e2_t05_r16_noDEC,urban,47,0.2644,0.0717,0.319,0.115,0.083,0.333,0.245
A_lr1e2_t06_r16,freeflow,50,0.1557,0.0257,0.077,0.468,0.175,0.262,0.44
A_lr1e2_t06_r16,highway,56,0.1675,0.0298,0.156,0.111,0.151,0.309,0.095
A_lr1e2_t06_r16,launch,102,0.2338,0.0569,0.154,0.26,0.089,0.171,0.249
A_lr1e2_t06_r16,mixed,19,0.2196,0.0505,0.263,0.112,0.054,0.203,0.127
A_lr1e2_t06_r16,truck,26,0.1157,0.0141,0.269,0.107,0.079,0.029,0.331
A_lr1e2_t06_r16,urban,47,0.2615,0.073,0.281,0.104,0.078,0.31,0.167
A_lr5e3_t04_r16,freeflow,50,0.1652,0.0302,0.114,0.395,0.072,0.278,0.372
A_lr5e3_t04_r16,highway,56,0.173,0.0319,0.144,0.115,0.063,0.303,0.132
A_lr5e3_t04_r16,launch,102,0.2402,0.0599,0.178,0.26,0.092,0.195,0.234
A_lr5e3_t04_r16,mixed,19,0.2348,0.0577,0.301,0.112,0.085,0.203,0.09
A_lr5e3_t04_r16,truck,26,0.1376,0.0199,0.315,0.108,0.197,0.031,0.288
A_lr5e3_t04_r16,urban,47,0.2596,0.0702,0.301,0.108,0.038,0.322,0.195
A_lr5e3_t05_r16,freeflow,50,0.1586,0.0278,0.11,0.389,0.063,0.275,0.353
A_lr5e3_t05_r16,highway,56,0.1743,0.0324,0.158,0.117,0.046,0.31,0.127
A_lr5e3_t05_r16,launch,102,0.2389,0.0593,0.168,0.243,0.102,0.184,0.204
A_lr5e3_t05_r16,mixed,19,0.244,0.0629,0.299,0.109,0.084,0.193,0.074
A_lr5e3_t05_r16,truck,26,0.1361,0.0195,0.315,0.105,0.192,0.036,0.279
A_lr5e3_t05_r16,urban,47,0.2627,0.0716,0.308,0.109,0.039,0.312,0.202
A_lr5e3_t06_r16,freeflow,50,0.1571,0.0271,0.097,0.454,0.161,0.262,0.404
A_lr5e3_t06_r16,highway,56,0.1679,0.0298,0.147,0.113,0.153,0.302,0.115
A_lr5e3_t06_r16,launch,102,0.2363,0.0581,0.159,0.27,0.147,0.166,0.239
A_lr5e3_t06_r16,mixed,19,0.2405,0.0615,0.298,0.11,0.141,0.191,0.085
A_lr5e3_t06_r16,truck,26,0.149,0.0231,0.307,0.108,0.272,0.032,0.277
A_lr5e3_t06_r16,urban,47,0.2569,0.0685,0.309,0.108,0.019,0.3,0.192
A_lr7e3_t04_r16,freeflow,50,0.1617,0.0285,0.092,0.451,0.019,0.263,0.438
A_lr7e3_t04_r16,highway,56,0.169,0.0303,0.127,0.116,0.041,0.312,0.118
A_lr7e3_t04_r16,launch,102,0.2383,0.059,0.162,0.273,0.107,0.172,0.251
A_lr7e3_t04_r16,mixed,19,0.245,0.0637,0.272,0.111,0.108,0.196,0.091
A_lr7e3_t04_r16,truck,26,0.1384,0.0201,0.286,0.107,0.205,0.031,0.271
A_lr7e3_t04_r16,urban,47,0.2516,0.0657,0.282,0.109,0.015,0.31,0.199
A_lr7e3_t05_r16,freeflow,50,0.1666,0.03,0.107,0.353,0.014,0.287,0.394
A_lr7e3_t05_r16,highway,56,0.1635,0.0284,0.191,0.103,0.022,0.325,0.109
A_lr7e3_t05_r16,launch,102,0.2348,0.0572,0.167,0.226,0.082,0.175,0.23
A_lr7e3_t05_r16,mixed,19,0.2292,0.0557,0.34,0.108,0.065,0.214,0.097
A_lr7e3_t05_r16,truck,26,0.1345,0.0187,0.365,0.106,0.151,0.033,0.291
A_lr7e3_t05_r16,urban,47,0.2539,0.0677,0.35,0.109,0.051,0.305,0.177
A_lr7e3_t05_r16_noDEC,freeflow,50,0.1921,0.0385,0.247,0.564,0.547,0.292,0.544
A_lr7e3_t05_r16_noDEC,highway,56,0.1674,0.0298,0.274,0.123,0.546,0.314,0.294
A_lr7e3_t05_r16_noDEC,launch,102,0.2553,0.0673,0.257,0.349,0.334,0.2,0.35
A_lr7e3_t05_r16_noDEC,mixed,19,0.2134,0.0473,0.49,0.122,0.245,0.206,0.157
A_lr7e3_t05_r16_noDEC,truck,26,0.1143,0.0137,0.491,0.115,0.258,0.034,0.393
A_lr7e3_t05_r16_noDEC,urban,47,0.2607,0.0717,0.518,0.11,0.203,0.316,0.192
A_lr7e3_t05_r16_s1,freeflow,50,0.1607,0.028,0.09,0.52,0.088,0.268,0.491
A_lr7e3_t05_r16_s1,highway,56,0.176,0.0328,0.109,0.136,0.191,0.3,0.134
A_lr7e3_t05_r16_s1,launch,102,0.2369,0.0585,0.15,0.325,0.124,0.157,0.282
A_lr7e3_t05_r16_s1,mixed,19,0.2341,0.0578,0.278,0.12,0.17,0.191,0.088
A_lr7e3_t05_r16_s1,truck,26,0.1255,0.0165,0.269,0.114,0.313,0.033,0.257
A_lr7e3_t05_r16_s1,urban,47,0.2498,0.0647,0.308,0.108,0.044,0.315,0.199
A_lr7e3_t05_r16_s2,freeflow,50,0.1658,0.0297,0.105,0.521,0.039,0.279,0.459
A_lr7e3_t05_r16_s2,highway,56,0.1681,0.0299,0.173,0.13,0.085,0.321,0.115
A_lr7e3_t05_r16_s2,launch,102,0.2358,0.0577,0.156,0.323,0.139,0.181,0.277
A_lr7e3_t05_r16_s2,mixed,19,0.2295,0.0556,0.328,0.123,0.116,0.215,0.098
A_lr7e3_t05_r16_s2,truck,26,0.1161,0.0141,0.348,0.11,0.224,0.028,0.272
A_lr7e3_t05_r16_s2,urban,47,0.2494,0.0646,0.337,0.109,0.027,0.319,0.185
A_lr7e3_t05_r16_s3,freeflow,50,0.1608,0.0297,0.117,0.515,0.039,0.241,0.488
A_lr7e3_t05_r16_s3,highway,56,0.1665,0.0296,0.215,0.126,0.123,0.325,0.232
A_lr7e3_t05_r16_s3,launch,102,0.2393,0.0595,0.19,0.306,0.094,0.168,0.304
A_lr7e3_t05_r16_s3,mixed,19,0.2246,0.0536,0.404,0.12,0.123,0.225,0.161
A_lr7e3_t05_r16_s3,truck,26,0.1228,0.0159,0.423,0.112,0.246,0.034,0.396
A_lr7e3_t05_r16_s3,urban,47,0.2371,0.0588,0.423,0.109,0.021,0.346,0.157
